ericniebler/range-v3,5.3,0,139,7
the-tcpdump-group/libpcap,4.3,3,387,39
farbrausch/fr_public,4.3,3,28,3
ShadowsocksR-Live/shadowsocksr-native,5.3,47,2545,260
surge-synthesizer/surge,4.3,36,5207,773
lastpass/lastpass-cli,4.3,3,301,20
Kitware/VTK,5.3,119,3245,506
Tencent/puerts,4.3,0,5,0
USCiLab/cereal,4.3,31,19,3
openssh/openssh-portable,4.3,23,2007,256
RavenSystem/esp-homekit-devices,5.3,37,3038,404
LizardByte/Sunshine,4.3,21,670,104
pytorch/glow,4.3,0,12,0
arximboldi/immer,4.3,6,288,239
InoriRus/Kyty,4.3,0,2058,196
pistacheio/pistache,4.3,3,273,37
KwaiAppTeam/KOOM,4.3,2,84,5
root-project/root,4.3,54,13317,1329
MayaPosch/NymphCast,5.3,91,3031,587
google/swiftshader,4.3,8,2162,298
sharkdp/dbg-macro,4.7,0,1,0
KhronosGroup/glslang,4.3,0,1344,338
AlexandreRouma/SDRPlusPlus,4.3,11,1521,137
mikke89/RmlUi,5.3,2,1090,113
FeralInteractive/gamemode,4.3,0,134,38
Dav1dde/glad,4.3,0,25,2
SchedMD/slurm,4.3,130,3840,760
coronalabs/corona,4.3,94,2743,321
dlundquist/sniproxy,4.3,1,177,11
yandex/odyssey,4.3,0,166,2
p-ranav/argparse,4.3,13,670,565
p-gen/smenu,4.3,25,202,38
google/orbit,4.3,19,1134,89
ptitSeb/box86,4.3,119,4520,315
traviscross/mtr,4.3,2,176,15
CppCon/CppCon2015,5.3,0,8,0
westes/flex,4.3,15,199,30
lzfse/lzfse,4.3,1,46,8
wangyu-/tinyfecVPN,5.3,9,109,11
danielkrupinski/Osiris,4.3,9,1189,166
rbock/sqlpp11,5.3,1,21,2
berthubert/googerteller,4.3,29,20,4
taocpp/PEGTL,4.3,0,242,29
gaoxiang12/slambook2,4.3,0,4,0
prabhuomkar/pytorch-cpp,4.3,0,105,2
NVIDIA/libcudacxx,4.3,34,540,44
axiomatic-systems/Bento4,5.3,50,1147,109
Tencent/libpag,5.3,0,3,0
panda3d/panda3d,4.3,49,4,0
Sunzxyong/Tiny,4.3,36,551,105
rime/librime,4.3,0,2,0
Presburger/qmc-decoder,4.3,0,3,0
iree-org/iree,4.3,13,671,153
supertuxkart/stk-code,4.3,27,1182,220
spring/spring,4.3,0,78,6
alandefreitas/matplotplusplus,4.3,41,611,67
OSGeo/gdal,4.3,412,14493,2458
